id,feed_type,category1,category2,status,name,action,location,created,updated,size,source_org,source_title,latitude,longitude,text
3015391,incident,Planned Burn,Planned Burn,Patrolled,,,6.2Km Ne Of Myrtleford,2026-04-27T07:50:54.000Z,2026-04-27T07:50:54.000Z,240.31 Ha.,VIC/DEECA,Barwidgee - Road 19,-36.54172,146.7924132,
899518,incident,Planned Burn,Planned Burn,Patrolled,,,20Km Southsoutheast Of Wodonga,2026-04-27T05:33:57.000Z,2026-04-27T05:33:57.000Z,187.69 Ha.,VIC/DEECA,Staghorn Flat - Mt Murramurrangbong Track,-36.2682,146.9822,
3023262,incident,Planned Burn,Planned Burn,Patrolled,,,3.6Km Se Of Eynesbury,2026-04-27T04:53:43.000Z,2026-04-27T04:53:43.000Z,81.13 Ha.,VIC/DEECA,Eynesbury - Werribee River,-37.8208004,144.5714018,
3024515,incident,Planned Burn,Planned Burn,Patrolled,,,22Km Sw Of Harrietville,2026-04-27T00:12:13.000Z,2026-04-27T00:12:13.000Z,0.10 Ha.,VIC/DEECA,Selwyn - Helipad Heaps,-37.0276165,146.8781452,
3009956,incident,Planned Burn,Planned Burn,Patrolled,,,5.5Km N Of Willow Grove,2026-04-26T22:37:35.000Z,2026-04-26T22:37:35.000Z,226.24 Ha.,VIC/DEECA,Willow Grove - Steve Track,-38.015209,146.1820207,
3006520,incident,Planned Burn,Planned Burn,Patrolled,,,11Km W Of Cowwarr,2026-04-26T22:37:19.000Z,2026-04-26T22:37:19.000Z,2013.17 Ha.,VIC/DEECA,Boola - C22 Track,-37.9907462,146.5502803,
3009737,incident,Planned Burn,Planned Burn,Patrolled,,,7Km Nw Of Yallourn North,2026-04-26T22:37:03.000Z,2026-04-26T22:37:03.000Z,367.47 Ha.,VIC/DEECA,Thalloo - Crabhole Track,-38.0945596,146.3233918,
3025271,incident,Planned Burn,Planned Burn,Patrolled,,,1Km Sw Of Beaconsfield Upper,2026-04-26T11:05:00.000Z,2026-04-26T11:05:00.000Z,14.58 Ha.,VIC/DEECA,Beaconsfield Upper - Dallas Brooks Scout Park,-37.994486,145.3964934,
3024358,incident,Planned Burn,Planned Burn,Patrolled,,,9.5Km Sw Of Nowa Nowa,2026-04-26T08:41:43.000Z,2026-04-26T08:41:43.000Z,13.93 Ha.,VIC/DEECA,Lake Tyers - Lake Tyers Aboriginal Trust 1,-37.8239067,148.0962267,
3010736,incident,Planned Burn,Planned Burn,Patrolled,,,3Km E Of Howqua,2026-04-26T08:20:45.000Z,2026-04-26T08:20:45.000Z,181.58 Ha.,VIC/DEECA,Howqua - Dungeon Gully West ,-37.2220576,146.2132845,
3025903,incident,Planned Burn,Planned Burn,Patrolled,,,1.5Km Ne Of Heyfield,2026-04-26T08:15:54.000Z,2026-04-26T08:15:54.000Z,3.79 Ha.,VIC/DEECA,Heyfield - Transfer Station,-37.967832,146.7501634,
868093,incident,Planned Burn,Planned Burn,Patrolled,,,13Km N Of Bonang,2026-04-26T07:11:46.000Z,2026-04-26T07:11:46.000Z,780.45 Ha.,VIC/DEECA,Bonang - Yellow Streak Mine,-37.0856856,148.7443133,
3009918,incident,Planned Burn,Planned Burn,Patrolled,,,5Km Se Of Reedy Creek,2026-04-26T06:31:11.000Z,2026-04-26T06:31:11.000Z,922.29 Ha.,VIC/DEECA,Reedy Creek - Dabyminga Creek,-37.3025313,145.1557643,
